Ward No.,Ward Name,Councillor Name,Party Affiliation,Source Year
1,Narela,Sweta Khatri,AAP,2022
2,Bankner,Dinesh Kumar,AAP,2022
3,Holambi Kalan,Neha,AAP,2022
4,Alipur,Yogesh,BJP,2022
5,Bakhtawarpur,Janta Devi,BJP,2022
6,Burari,Anil Kumar Tyagi,BJP,2022
7,Kadipur,Munesh Devi,AAP,2022
8,Mukundpur,Gulab Singh,BJP,2022
9,Sant Nagar,Rubi,AAP,2022
10,Jharoda,Gagan Choudhary,AAP,2022
11,Timarpur,Promila Gupta,AAP,2022
12,Malka Ganj,Rekha,BJP,2022
13,Mukherjee Nagar,Raja Iqbal Singh,BJP,2022
14,Dhirpur,Neha Aggarwal,AAP,2022
15,Adarsh Nagar,Mukesh Kumar Goel,AAP,2022
16,Azadpur,Suman Kumari,BJP,2022
17,Bhalswa,Ajeet Singh Yadav,AAP,2022
18,Jahangir Puri,Timsy Sharma,AAP,2022
19,Sarup Nagar,Joginder Singh,AAP,2022
20,Samaypur Badli,Gayatri Yadav,BJP,2022
21,Rohini-A,Pardeep Mittal,AAP,2022
22,Rohini-B,Suman Anil Rana,AAP,2022
23,Rithala,Narender Kumar Singh,BJP,2022
24,Vijay Vihar,Pushpa,AAP,2022
25,Budh Vihar,Amrit Jain,AAP,2022
26,Pooth Kalan,Ritu Mukesh Kumar,AAP,2022
27,Begumpur,Jai Bhagwan Yadav,BJP,2022
28,Shahbaad Dairy,Ram Chander,AAP,2022
29,Pooth Khurd,Anju Devi,BJP,2022
30,Bawana,Pawan Kumar,AAP,2022
31,Nangal Thakran,Babita,BJP,2022
32,Kanjhawala,Sandeep,AAP,2022
33,Rani Khera,Manisha Jasbir Karala,AAP,2022
34,Nangloi,Hemlata,AAP,2022
35,Mundka,Anil,AAP,2025
36,Nilothi,Babina Shokeen,AAP,2022
37,Kirari,Ramesh Chand,AAP,2022
38,Prem Nagar,Neela Kumari,BJP,2022
39,Mubarikpur,Rajesh Kumar Gupta,AAP,2022
40,Nithari,Mamta Gupta,AAP,2022
41,Aman Vihar,Ravinder Bhardwaj,AAP,2022
42,Mangol Puri,Rajesh Kumar,AAP,2022
43,Sultanpuri-A,Bobi,AAP,2022
44,Sultanpuri-B,Daulat,AAP,2022
45,Jawalapuri,Santosh Devi,AAP,2022
46,Nangloi Jat,Poonam Saini,BJP,2022
47,Nihal Vihar,Mandeep Singh,INC,2022
48,Guru Harkishan Nagar,Monika Goyal,BJP,2022
49,Mangolpuri-A,Dharam Rakshak,AAP,2022
50,Mangolpuri-B,Suman,AAP,2022
51,Rohini-C,Dharambir Sharma,BJP,2022
52,Rohini-F,Ritu Goel,BJP,2022
53,Rohini-E,Pravesh Wahi,BJP,2022
54,Rohini-D,Smita,BJP,2022
55,Shalimar Bagh-A,Jalaj Kumar,AAP,2022
56,Shalimar Bagh-B,Anita Jain,BJP,2025
